module_sort_order,title,content,video_url,sort_order
1,"What is the RST, and do you need one?","The Recreational Skipper's Ticket (RST) is the licence you need to be in charge of a recreational boat in Western Australia. It exists for one reason: to make sure the person at the helm actually knows how to keep everyone on board, and everyone else on the water, safe.

You must hold an RST if you're the skipper of a recreational vessel with a motor bigger than 6 hp (4.5 kW). ""Skipper"" means you're the one responsible for the safe operation of the vessel and the safety of everyone on it — that's a different job to just ""driving,"" which means physically being at the controls.

The minimum age to hold an RST is 14. If you're 14 or 15, you can only skipper during daylight hours and at speeds up to 8 knots. Once you turn 16, those restrictions lift. Some activities — like towing a water skier, or driving a boat when you're the one being supervised because you don't hold an RST yourself — have their own age rules, so if you're planning anything unusual, it's worth checking the requirements for that specific activity.

Boats with a motor of 6 hp or less have lighter requirements — you don't need an RST to skipper one, though age limits still apply for towing and similar activities.",,1
1,Theory and practical: what the assessment actually covers,"Getting your RST means passing two separate assessments: a theory test and a practical, on-water test. You don't have to do a training course first — plenty of people study this workbook on their own and practise with a supervising skipper (a friend, parent or relative who already holds an RST and is over 18).

The theory assessment is a 40-question multiple-choice paper covering rules and regulations, collision avoidance, navigation lights, IALA buoyage, maintenance, safety equipment, safe operations, and emergencies. You need at least 34 correct to move on to the practical. Score 30–33 and you can resit with a different set of questions the same day; score under 30 and you'll need to come back another day. You get a maximum of two attempts in one day.

The practical assessment takes about 30 minutes and is done on the water with an approved assessor. It covers things like a safety briefing, starting the motor safely, logging a voyage plan, departing and returning to a berth, recovering someone from the water, and bringing the vessel to a controlled stop. You need to get at least 56 of the 62 assessment criteria right — so six or fewer mistakes — and you only get one practical attempt per day.

Pass both and your assessor issues you a Receipt of Completion certificate on the spot, which lets you skipper straight away. Your actual RST card follows in the mail once DTMI processes your records.",,2
1,Getting ready for assessment day,"Before you can be assessed, there's some paperwork to sort out.

If you're under 18, you'll need a letter of consent signed by a parent or guardian. You'll also need to prove your identity — a valid Australian driver's licence or learner's permit covers both identity and the eyesight requirement (a minimum corrected vision of 6/12 in at least one eye). If you don't have one, you'll need either one full identity document or a primary-plus-secondary combination, and a medical practitioner, nurse or optometrist to sign an eyesight declaration for you.

You'll also need to self-declare your medical fitness. If you have a condition that could affect your ability to safely operate a vessel — things like epilepsy, heart disease, uncontrolled blood pressure, or type 1 diabetes are examples — you'll need a medical practitioner to complete a Declaration of Medical Fitness form.

Assessment fees aren't set by DTMI, so it's worth comparing prices between authorised providers. If you already hold a recognised interstate or overseas skipper's licence, you can operate in WA for up to three months before you need to apply for your RST under the Skills Recognition scheme — and if you hold certain existing marine qualifications, you may be able to skip the assessment altogether through that same scheme.",,3
2,Your responsibilities as skipper,"As skipper, you carry a duty of care for everyone on your vessel and everyone else sharing the water with you. That's the starting point for everything in this module — the rules exist because a boat is a powerful, sometimes dangerous thing, and someone has to be answerable for how it's used.

Marine safety officers and police have the power to stop and check vessels, and you're required to identify yourself as the skipper when asked. If you change your name or address, you need to update your RST details with DTMI.

If you're involved in a marine incident, there are reporting obligations. Any accident involving serious injury or death, or damage that makes a vessel unseaworthy or unsafe, must be reported within 72 hours. Beyond the legal obligation, there's also a longstanding tradition of the sea: if you come across someone in distress, you're expected to offer assistance, within the limits of what you can safely do.

Alcohol and drugs are treated the same way on the water as on the road — the blood alcohol limit for skippers is 0.05, aligned with WA's road law, and operating under the influence of illicit drugs carries the same seriousness as drink driving.",,1
2,Speed limits and staying clear of others,"Speed limits on the water exist to protect people, property and the environment, and they show up in a few recurring situations. As a rule of thumb, 8 knots is the limit near bridges, in mooring areas, in shallow water, within 50 metres of vessels underway, within 50 metres of a person in the water, and near jetties or riverbanks. Marine safety signs will tell you the specific limit for a given area, so it pays to know how to read them.

Right of way at jetties follows a similar logic to giving way on the water generally: the vessel travelling down-river usually gives way, a boat on the outer course gives way to one on the inner course, and whoever got underway first generally has the right of way.

You're also required to keep clear of navigation aids (don't obstruct them) and to stay within the hull of your vessel while underway — no perching on the bow or gunwales. Marine animals and their habitat get specific protection too: anchoring in a way that damages seagrass, disturbing wildlife, or excessive noise and wake near sensitive areas can all be enforcement matters, not just courtesy issues.",,2
2,"Pollution, rubbish and refuelling","Polluting WA's waterways carries serious penalties — up to $200,000 for an individual and $1 million for a company — so the rules here aren't just guidelines. There are set distances for disposing of rubbish, oil and garbage overboard, and you're expected to manage your bilge responsibly rather than pumping contaminated water straight over the side.

Refuelling is one of the most common ways fuel ends up in the water, so take care: know how much fuel you need before you start (to avoid overfilling), and keep a fire extinguisher within reach while you refuel. If you do have a spill, WA's Oil Spill Response Coordination Unit can be contacted on (08) 9480 9924.

Sewage discharge from vessels is also regulated, particularly in sensitive or enclosed waterways, so check the rules for the area you're operating in if your vessel has onboard toilet facilities.",,3
2,Registration and special activities,"Most recreational vessels with an engine need to be registered, though there are exemptions — small tenders, canoes, and lifeboats used only for their intended purpose are common examples, generally where the vessel is 3.1 metres or less, or fitted with a motor of 5 hp or less. Registered vessels need to display their registration number and label correctly for their vessel type.

A few activities carry their own extra rules. Diving needs to be signalled with Code Flag ""A"" and diving lights where relevant, and other vessels need to give divers 50 metres of clearance. Water skiing requires a skipper, an observer and a skier who all meet age and role requirements, uses standard hand signals, and is restricted to defined ski areas and distances from other water users. Personal watercraft (PWC) have their own safety equipment requirements that differ depending on whether you're operating inshore or more than 400 metres offshore, and freestyling or tow-in surfing are prohibited in some zones.",,4
3,"The basics: lookout, safe speed and responsibility","Every skipper is responsible for avoiding collisions — full stop. Even when the rules say another vessel should give way to you, if they don't, you're still expected to take whatever action is needed to avoid a crash. ""They should have given way"" is not a defence.

The single most important habit is keeping a good lookout, using your eyes, ears and any equipment you have — radar, sounders, plotters — especially at night or in poor visibility. Alongside that, travel at a safe speed: one that gives you enough time to manoeuvre and avoid a collision, taking into account visibility, traffic, background lighting and water depth.

To assess whether another vessel is a collision risk, watch its bearing relative to you. If the bearing isn't changing — the other boat isn't moving ahead or dropping back in your line of sight — you're likely on a collision course, and whatever action you take needs to be obvious to the other vessel and result in you passing well clear.

In restricted visibility (fog, heavy rain), keep an especially good lookout, switch your navigation lights on, slow to a safe speed for the conditions, and be ready to stop or manoeuvre at any moment.",,1
3,"Who gives way, and how you signal it","The golden rule on the water is: look to the right, give way to the right, turn to the right, and stay to the right. In general, power gives way to sail, and any vessel hampered by what it's doing (dredging, cable laying) gets right of way over ordinary traffic.

Overtaking overrides every other give-way rule: the overtaking vessel must keep clear of the vessel being overtaken, on either side, but with plenty of room. If you're being overtaken, hold your course and speed until the other vessel is past and clear.

For two power-driven vessels crossing paths: if the other vessel is on your right (starboard), it has right of way and you must keep clear — turn right, slow down, or both. If it's on your left (port), you technically have right of way, but if it looks like the other skipper hasn't seen you, you need to act anyway: alter course to the right, slow down, or both. Meeting another vessel head-on, both of you alter course to the right, so you pass port side to port side. There's an old rhyme sailors have used for generations to remember this: ""green to green, or red to red, perfect safety, go ahead"" — if the sidelight colour you can see matches the one you're showing them, you're passing safely.

Sound signals are used to indicate what you're about to do: one short blast means you're altering course to starboard, two short blasts means altering course to port, three short blasts means your engines are going astern, and five short blasts is the ""I don't understand your intentions, or you're not following the rules"" signal — in other words, get out of the way.

When travelling upstream in a narrow channel or river, keep to the starboard (right-hand) side.",,2
4,Why navigation lights matter,"Any vessel out from sunset to sunrise — whether underway or at anchor — must carry and correctly show navigation lights, and they're also required during daylight hours if visibility is restricted. Before you head out, make sure your lights actually work; it's an easy thing to overlook and a common cause of near-misses at night.

Lights need to be positioned so nothing on your vessel blocks them — a common problem on trailer boats is a masthead light on a pole that doesn't clear the top of a cabin or windscreen. An obscured light can confuse other vessels about what you're doing and where you're headed, which defeats the whole purpose.

The main light positions are sidelights (red for port, green for starboard, each visible through 112.5° either side of the bow), a masthead light (white, shining forward through 225°) and a stern light (white, shining aft through 135°). Together, the masthead and stern lights cover the full 360° in white; on vessels under 12 metres, these two can be combined into a single all-round white light. Anchor lights are all-round white, visible through the full 360°, and should be positioned where they can best be seen.",,1
